Awardee,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate,Indicator Number,Indicator Name,Category,Program
Utah,2014,603,2942902,20.49,22.4296,1,All Drug Overdose Deaths,Mortality,PfS
Utah,2015,646,2995919,21.5627,23.3773,1,All Drug Overdose Deaths,Mortality,PfS
Utah,2016,635,3051217,20.8114,22.3516,1,All Drug Overdose Deaths,Mortality,PfS
Vermont,2013,93,626630,14.8413,15.0543,1,All Drug Overdose Deaths,Mortality,PfS
Vermont,2014,83,626562,13.2469,13.9444,1,All Drug Overdose Deaths,Mortality,PfS
Vermont,2015,99,626042,15.8136,16.6979,1,All Drug Overdose Deaths,Mortality,PfS
Vermont,2016,125,624594,20.013,22.1702,1,All Drug Overdose Deaths,Mortality,PfS
Virginia,2013,854,8260405,10.3385,10.2361,1,All Drug Overdose Deaths,Mortality,PfS
Virginia,2014,980,8326289,11.7699,11.7135,1,All Drug Overdose Deaths,Mortality,PfS
Virginia,2015,1039,8382993,12.3941,12.3604,1,All Drug Overdose Deaths,Mortality,PfS
Virginia,2016,1405,8411808,16.7027,16.7463,1,All Drug Overdose Deaths,Mortality,PfS
Washington,2013,969,6971406,13.8996,13.4249,1,All Drug Overdose Deaths,Mortality,PfS
Washington,2014,979,7061530,13.8639,13.2764,1,All Drug Overdose Deaths,Mortality,PfS
Washington,2015,1094,7170351,15.2573,14.7417,1,All Drug Overdose Deaths,Mortality,PfS
Washington,2016,1102,7288000,15.1207,14.5105,1,All Drug Overdose Deaths,Mortality,PfS
West Virginia,2013,570,1854304,30.7393,32.1989,1,All Drug Overdose Deaths,Mortality,PfS
West Virginia,2014,627,1850326,33.8859,35.5052,1,All Drug Overdose Deaths,Mortality,PfS
West Virginia,2015,725,1844128,39.314,41.4936,1,All Drug Overdose Deaths,Mortality,PfS
West Virginia,2016,884,1831102,48.2769,52.0211,1,All Drug Overdose Deaths,Mortality,PfS
Wisconsin,2013,856,5742713,14.9058,15.0285,1,All Drug Overdose Deaths,Mortality,PfS
Wisconsin,2014,853,5757564,14.8153,15.0648,1,All Drug Overdose Deaths,Mortality,PfS
Wisconsin,2015,878,5771337,15.2131,15.4719,1,All Drug Overdose Deaths,Mortality,PfS
Wisconsin,2016,1074,5778708,18.5855,19.2873,1,All Drug Overdose Deaths,Mortality,PfS
Wyoming,2013,98,582658,16.8195,17.2422,1,All Drug Overdose Deaths,Mortality,PfS
Wyoming,2014,109,584153,18.6595,19.3823,1,All Drug Overdose Deaths,Mortality,PfS
Wyoming,2015,96,586107,16.3793,16.4454,1,All Drug Overdose Deaths,Mortality,PfS
Wyoming,2016,99,585501,16.9086,17.5871,1,All Drug Overdose Deaths,Mortality,PfS
Alabama,2013,181,4833722,3.7445,3.8533,2,Drug Overdose Deaths Involving Opioids,Mortality,None
Alabama,2014,286,4849377,5.8977,5.961,2,Drug Overdose Deaths Involving Opioids,Mortality,None
Alabama,2015,299,4858979,6.1536,6.4912,2,Drug Overdose Deaths Involving Opioids,Mortality,None
Alabama,2016,375,4863300,7.7108,8.1193,2,Drug Overdose Deaths Involving Opioids,Mortality,None
Alaska,2013,71,735132,9.6581,9.4888,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
Alaska,2014,84,736732,11.4017,11.5102,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
Alaska,2015,90,738432,12.188,11.6752,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
Alaska,2016,97,741894,13.0746,12.846,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
Arizona,2013,557,6626624,8.4055,8.6089,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
Arizona,2014,621,6731484,9.2253,9.2696,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
Arizona,2015,702,6828065,10.2811,10.6064,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
Arizona,2016,807,6931071,11.6432,11.8868,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
Arkansas,2013,169,2959373,5.7107,5.8791,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
Arkansas,2014,179,2966369,6.0343,6.4466,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
Arkansas,2015,211,2978204,7.0848,7.5289,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
Arkansas,2016,174,2988248,5.8228,6.0984,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
California,2013,2082,38332521,5.4314,5.2018,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
California,2014,2178,38802500,5.613,5.3423,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
California,2015,2191,39144818,5.5972,5.3123,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
California,2016,2202,39250017,5.6102,5.3105,2,Drug Overdose Deaths Involving Opioids,Mortality,DDPI
Colorado,2013,455,5268367,8.6365,8.4319,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Colorado,2014,548,5355866,10.2318,9.919,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Colorado,2015,524,5456574,9.6031,9.2185,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Colorado,2016,584,5540545,10.5405,10.3043,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Connecticut,2013,484,3596080,13.4591,13.4383,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Connecticut,2014,549,3596677,15.2641,15.7496,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Connecticut,2015,722,3590886,20.1065,20.1099,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Connecticut,2016,893,3576452,24.9689,25.4421,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Delaware,2013,118,925749,12.7464,13.3717,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Delaware,2014,131,935614,14.0015,14.5945,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Delaware,2015,138,945934,14.5888,15.2406,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Delaware,2016,165,952065,17.3308,18.0055,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
District of Columbia,2013,79,646449,12.2206,11.5249,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
District of Columbia,2014,79,658893,11.9898,11.6495,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
District of Columbia,2015,114,672228,16.9585,16.8607,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
District of Columbia,2016,241,681170,35.3803,34.8154,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Florida,2013,1452,19552860,7.426,7.5204,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Florida,2014,1591,19893297,7.9977,8.1609,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Florida,2015,2048,20271272,10.103,10.4695,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Florida,2016,3143,20612439,15.2481,16.0205,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Georgia,2013,599,9992167,5.9947,5.9523,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Georgia,2014,776,10097343,7.6852,7.6186,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Georgia,2015,931,10214860,9.1142,9.0587,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Georgia,2016,1028,10310371,9.9705,9.8408,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Hawaii,2013,73,1404054,5.1992,5.0269,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Hawaii,2014,61,1419561,4.2971,4.0791,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Hawaii,2015,67,1431603,4.6801,4.5114,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Hawaii,2016,82,1428557,5.7401,5.5359,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Idaho,2013,77,1612136,4.7763,4.7708,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Idaho,2014,79,1634464,4.8334,5.0667,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Idaho,2015,90,1654930,5.4383,5.9945,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Idaho,2016,121,1683140,7.1889,7.5841,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Illinois,2013,1179,12882135,9.1522,9.0424,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Illinois,2014,1309,12880580,10.1626,10.1208,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Illinois,2015,1494,12859995,11.6174,11.5321,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Illinois,2016,2074,12801539,16.2012,16.2741,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Indiana,2013,379,6570902,5.7679,6.0086,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Indiana,2014,477,6596855,7.2307,7.5338,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Indiana,2015,557,6619680,8.4143,8.7884,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Indiana,2016,834,6633053,12.5734,13.1706,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Iowa,2013,181,3090416,5.8568,6.1353,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Iowa,2014,163,3107126,5.246,5.4464,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Iowa,2015,177,3123899,5.666,6.0248,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Iowa,2016,186,3134693,5.9336,6.3558,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Kansas,2013,165,2893957,5.7015,5.9899,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Kansas,2014,181,2904021,6.2327,6.35,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Kansas,2015,159,2911641,5.4608,5.793,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Kansas,2016,153,2907289,5.2626,5.3225,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Kentucky,2013,690,4395295,15.6986,15.9911,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Kentucky,2014,748,4413457,16.9482,17.2619,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Kentucky,2015,911,4425092,20.5871,21.6324,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Kentucky,2016,1028,4436974,23.1689,24.4459,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
Louisiana,2013,314,4625470,6.7885,6.8619,2,Drug Overdose Deaths Involving Opioids,Mortality,PfS
